ReceivingAreas_SA54Id,rcaCode,rcaMethod54,rcaPlants54,rcaPlantsCapacity54,rcaNIncoming54,rcaNDischarged54,rcaPIncoming54,rcaPDischarged54,ReportNetEnvelopeFileId
355984,NL2014,M,337,21806765,89627,14101,13523,2179,24895
356751,ITCA99Q15SA001,E,18,189100,434,108,56,7,27565
356752,ITCM09CSA000000012,E,338,5185951,3784510,966651,390594,94430,27565
356753,ITCM14CSA000000001,E,,,,,,,27565
356754,ITCM14CSA000000002,E,,,,,,,27565
356755,ITCM99CSA10000002,C,1215,9161848,21625,5343,2716,650,27565
356756,ITCM99CSAQ15001,E,8419,38827842,89627,29431,12073,3248,27565
356757,ITLK14SA0000000001,E,,,,,,,27565
356758,ITLK16SA0000000006,E,,,,,,,27565
356759,ITRI09SA0000000006,E,7,1715330,7718105,1285381,779463,159741,27565
356777,HULKAIP517,M,,,,,,,27663
356778,HULKAIP520,M,,,,,,,27663
356779,HULKAIP540,M,,,,,,,27663
357082,FR_SA_CA_01213,M,4,47800,147,19,19,4,27697
357083,FR_SA_CA_03201,M,9,153520,303,37,39,5,27697
357084,FR_SA_CA_03205,M,10,331500,1081,209,124,18,27697
357085,FR_SA_CA_03206,M,13,89720,160,16,18,3,27697
357086,FR_SA_CA_04202,M,174,352673,782,168,103,16,27697
357087,FR_SA_CA_04205,M,11,92430,97,11,14,1,27697
357088,FR_SA_CA_04209,M,39,282510,94,7,11,2,27697
357089,FR_SA_CA_04216,M,36,754250,1295,163,159,20,27697
357090,FR_SA_CA_04223,M,14,739880,1734,364,197,46,27697
357091,FR_SA_CM_01214,M,210,1879488,5063,738,1101,112,27697
357092,FR_SA_CM_01215,M,69,660732,1968,409,234,49,27697
357093,FR_SA_CM_01216,M,223,3472363,10263,2178,1237,262,27697
357094,FR_SA_CM_02019,M,120,571405,1278,267,173,34,27697
357095,FR_SA_CM_02020,M,361,2275448,5388,987,674,120,27697
357096,FR_SA_CM_02021,M,192,3624926,8729,1406,1102,148,27697
357097,FR_SA_CM_02022,M,163,986759,1556,311,198,43,27697
357098,FR_SA_CM_03202,M,316,1602620,3561,333,470,57,27697
357099,FR_SA_CM_03203,M,197,378667,969,123,121,30,27697
357100,FR_SA_CM_03205,M,6,38000,110,7,11,3,27697
357101,FR_SA_CM_03207,M,1942,23235638,56668,13237,6684,1142,27697
357102,FR_SA_CM_03208,M,46,130573,331,18,74,8,27697
357103,FR_SA_CM_03209,M,7,5720,31,3,6,1,27697
357104,FR_SA_CM_04201,M,95,329390,760,106,97,24,27697
357105,FR_SA_CM_04202,M,80,893665,2285,332,286,49,27697
357106,FR_SA_CM_04203,M,7,72840,169,15,22,2,27697
357107,FR_SA_CM_04204,M,61,217180,389,61,87,10,27697
357108,FR_SA_CM_04206,M,32,451325,805,120,118,15,27697
357109,FR_SA_CM_04208,M,32,263783,341,49,43,7,27697
357110,FR_SA_CM_04209,M,57,362043,646,99,79,16,27697
357111,FR_SA_CM_04211,M,46,360472,933,115,112,16,27697
357112,FR_SA_CM_04213,M,2321,5692550,16192,2915,2032,405,27697
357113,FR_SA_CM_04214,M,318,1071663,2749,448,340,75,27697
357114,FR_SA_CM_04217,M,2258,4042210,10812,2538,1330,294,27697
357115,FR_SA_CM_04218,M,402,1779342,4341,519,577,73,27697
357116,FR_SA_CM_04219,M,365,779598,1966,335,247,47,27697
357117,FR_SA_CM_04220,M,114,342193,712,76,91,13,27697
357118,FR_SA_CM_04221,M,56,132349,388,56,46,8,27697
357119,FR_SA_CM_04222,M,142,611186,1751,272,215,21,27697
357120,FR_SA_CM_05002,M,87,275153,1024,246,130,30,27697
357121,FR_SA_CM_05008,M,246,514671,1398,316,177,39,27697
357122,FR_SA_CM_06225,M,47,307711,689,62,95,11,27697
357123,FR_SA_CM_06226,M,44,758816,1478,179,273,38,27697
357124,FR_SA_CM_06227,M,27,379600,965,96,114,24,27697
357125,FR_SA_CM_06228,M,6,35815,110,11,12,3,27697
357126,FR_SA_CM_06229,M,1322,3993537,5972,1135,1033,209,27697
357127,FR_SA_CM_06304,M,26,126242,619,143,73,18,27697
357128,FR_SA_CM_06305,M,59,111919,272,33,30,7,27697
357129,FR_SA_CM_06311,M,38,234632,99,25,48,7,27697
357130,FR_SA_CM_06314,M,16,162432,235,20,35,5,27697
357131,FR_SA_CM_06316,M,60,289304,420,84,80,20,27697
357132,FR_SA_CM_06318,M,9,130300,305,36,38,5,27697
357133,FR_SA_CM_06320,M,2,32250,127,15,18,2,27697
357134,FR_SA_CM_06322,M,3,18800,50,6,6,1,27697
357135,FR_SA_CM_04207,M,2,2900,3,1,0,0,27697
357136,FR_SA_RI_01214,M,210,1879488,5063,738,1101,112,27697
357137,FR_SA_RI_01215,M,69,660732,1968,409,234,49,27697
357138,FR_SA_RI_01216,M,223,3472363,10263,2178,1237,262,27697
357139,FR_SA_RI_02019,M,120,571405,1278,267,173,34,27697
357140,FR_SA_RI_02020,M,361,2275448,5388,987,674,120,27697
357141,FR_SA_RI_02021,M,192,3624926,8729,1406,1102,148,27697
357142,FR_SA_RI_02022,M,163,986759,1556,311,198,43,27697
357143,FR_SA_RI_03202,M,316,1602620,3561,333,470,57,27697
357144,FR_SA_RI_03203,M,197,378667,969,123,121,30,27697
357145,FR_SA_RI_03205,M,6,38000,110,7,11,3,27697
357146,FR_SA_RI_03207,M,1942,23235638,56668,13237,6684,1142,27697
357147,FR_SA_RI_03208,M,46,130573,331,18,74,8,27697
357148,FR_SA_RI_03209,M,7,5720,31,3,6,1,27697
357149,FR_SA_RI_04201,M,95,329390,760,106,97,24,27697
357150,FR_SA_RI_04202,M,80,893665,2285,332,286,49,27697
357151,FR_SA_RI_04203,M,7,72840,169,15,22,2,27697
357152,FR_SA_RI_04204,M,61,217180,389,61,87,10,27697
357153,FR_SA_RI_04206,M,32,451325,805,120,118,15,27697
357154,FR_SA_RI_04207,M,2,2900,3,1,0,0,27697
357155,FR_SA_RI_04208,M,32,263783,341,49,43,7,27697
357156,FR_SA_RI_04209,M,57,362043,646,99,79,16,27697
357157,FR_SA_RI_04211,M,46,360472,933,115,112,16,27697
357158,FR_SA_RI_04213,M,2321,5692550,16192,2915,2032,405,27697
357159,FR_SA_RI_04214,M,318,1071663,2749,448,340,75,27697
357160,FR_SA_RI_04217,M,2258,4042210,10812,2538,1330,294,27697
357161,FR_SA_RI_04218,M,402,1779342,4341,519,577,73,27697
357162,FR_SA_RI_04219,M,365,779598,1966,335,247,47,27697
357163,FR_SA_RI_04220,M,114,342193,712,76,91,13,27697
357164,FR_SA_RI_04221,M,56,132349,388,56,46,8,27697
357165,FR_SA_RI_04222,M,142,611186,1751,272,215,21,27697
357166,FR_SA_RI_05002,M,87,275153,1024,246,130,30,27697
357167,FR_SA_RI_05008,M,246,514671,1398,316,177,39,27697
357168,FR_SA_RI_06225,M,47,307711,689,62,95,11,27697
357169,FR_SA_RI_06226,M,44,758816,1478,179,273,38,27697
357170,FR_SA_RI_06227,M,27,379600,965,96,114,24,27697
357171,FR_SA_RI_06228,M,6,35815,110,11,12,3,27697
357172,FR_SA_RI_06229,M,1322,3993537,5972,1135,1033,209,27697
357173,FR_SA_RI_06304,M,26,126242,619,143,73,18,27697
357174,FR_SA_RI_06305,M,59,111919,272,33,30,7,27697
357175,FR_SA_RI_06311,M,38,234632,99,25,48,7,27697
357176,FR_SA_RI_06314,M,16,162432,235,20,35,5,27697
357177,FR_SA_RI_06316,M,60,289304,420,84,80,20,27697
357178,FR_SA_RI_06318,M,9,130300,305,36,38,5,27697
357179,FR_SA_RI_06320,M,2,32250,127,15,18,2,27697
357180,FR_SA_RI_06322,M,3,18800,50,6,6,1,27697
357184,BERI10021RBC,M,16,1897950,6437,1311,806,148,27511
357185,DE,C,2667,80708521,231480,42734,39964,3761,26776
357186,DE,E,6024,44082975,131700,21257,21494,2578,26776
357187,DE,M,440,24810760,71738,11109,11836,643,26776
357188,AT_RA_1_CM,M,1865,21774420,46634,8625,7506,767,27679
